../data/final/netrd/SIS/timeseries_bull_1k_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 200
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 1000
NUM_TRAIN_SAMPLES: 799
NUM_TRAIN_BATCHES: 8
NUM_TEST_SAMPLES: 200
NUM_TEST_BATCHES: 2
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 0, run 0. Mean loss in evaluation epoch: 0.44642773270606995, epochs needed: 200
evaluating: matrix 1, run 0. Mean loss in evaluation epoch: 0.4335658550262451, epochs needed: 200
evaluating: matrix 2, run 0. Mean loss in evaluation epoch: 0.4470704197883606, epochs needed: 200
evaluating: matrix 3, run 0. Mean loss in evaluation epoch: 0.4397214651107788, epochs needed: 200
evaluating: matrix 4, run 0. Mean loss in evaluation epoch: 0.4437510371208191, epochs needed: 200
evaluating: matrix 5, run 0. Mean loss in evaluation epoch: 0.43943291902542114, epochs needed: 200
evaluating: matrix 6, run 0. Mean loss in evaluation epoch: 0.43023884296417236, epochs needed: 200
evaluating: matrix 7, run 0. Mean loss in evaluation epoch: 0.4413485527038574, epochs needed: 200
evaluating: matrix 8, run 0. Mean loss in evaluation epoch: 0.44838064908981323, epochs needed: 200
evaluating: matrix 9, run 0. Mean loss in evaluation epoch: 0.440018892288208, epochs needed: 200
evaluating: matrix 10, run 0. Mean loss in evaluation epoch: 0.4358693063259125, epochs needed: 200
evaluating: matrix 11, run 0. Mean loss in evaluation epoch: 0.4438546299934387, epochs needed: 200
evaluating: matrix 12, run 0. Mean loss in evaluation epoch: 0.44733500480651855, epochs needed: 200
evaluating: matrix 13, run 0. Mean loss in evaluation epoch: 0.43758928775787354, epochs needed: 200
evaluating: matrix 14, run 0. Mean loss in evaluation epoch: 0.4500194787979126, epochs needed: 200
evaluating: matrix 15, run 0. Mean loss in evaluation epoch: 0.44277244806289673, epochs needed: 200
evaluating: matrix 16, run 0. Mean loss in evaluation epoch: 0.4463696777820587, epochs needed: 200
evaluating: matrix 17, run 0. Mean loss in evaluation epoch: 0.43209928274154663, epochs needed: 200
evaluating: matrix 18, run 0. Mean loss in evaluation epoch: 0.44510746002197266, epochs needed: 200
evaluating: matrix 19, run 0. Mean loss in evaluation epoch: 0.4264521598815918, epochs needed: 200
evaluating: matrix 20, run 0. Mean loss in evaluation epoch: 0.4329903721809387, epochs needed: 200
evaluating: matrix 21, run 0. Mean loss in evaluation epoch: 0.4398984909057617, epochs needed: 200
evaluating: matrix 22, run 0. Mean loss in evaluation epoch: 0.44502103328704834, epochs needed: 200
evaluating: matrix 23, run 0. Mean loss in evaluation epoch: 0.4368605315685272, epochs needed: 200
evaluating: matrix 24, run 0. Mean loss in evaluation epoch: 0.4290729761123657, epochs needed: 200
evaluating: matrix 25, run 0. Mean loss in evaluation epoch: 0.43815878033638, epochs needed: 200
evaluating: matrix 26, run 0. Mean loss in evaluation epoch: 0.44620680809020996, epochs needed: 200
evaluating: matrix 27, run 0. Mean loss in evaluation epoch: 0.43989622592926025, epochs needed: 200
evaluating: matrix 28, run 0. Mean loss in evaluation epoch: 0.44636738300323486, epochs needed: 200
evaluating: matrix 29, run 0. Mean loss in evaluation epoch: 0.4376618266105652, epochs needed: 200
evaluating: matrix 30, run 0. Mean loss in evaluation epoch: 0.4464208483695984, epochs needed: 200
evaluating: matrix 31, run 0. Mean loss in evaluation epoch: 0.4332592487335205, epochs needed: 200
evaluating: matrix 32, run 0. Mean loss in evaluation epoch: 0.44039374589920044, epochs needed: 200
evaluating: matrix 33, run 0. Mean loss in evaluation epoch: 0.44436901807785034, epochs needed: 200
evaluating: matrix 34, run 0. Mean loss in evaluation epoch: 0.439461886882782, epochs needed: 200
evaluating: matrix 35, run 0. Mean loss in evaluation epoch: 0.44098609685897827, epochs needed: 200
evaluating: matrix 36, run 0. Mean loss in evaluation epoch: 0.445631206035614, epochs needed: 200
evaluating: matrix 37, run 0. Mean loss in evaluation epoch: 0.44395899772644043, epochs needed: 200
evaluating: matrix 38, run 0. Mean loss in evaluation epoch: 0.436867356300354, epochs needed: 200
evaluating: matrix 39, run 0. Mean loss in evaluation epoch: 0.43430402874946594, epochs needed: 200
evaluating: matrix 40, run 0. Mean loss in evaluation epoch: 0.44517457485198975, epochs needed: 200
evaluating: matrix 41, run 0. Mean loss in evaluation epoch: 0.44563233852386475, epochs needed: 200
evaluating: matrix 42, run 0. Mean loss in evaluation epoch: 0.4435354471206665, epochs needed: 200
evaluating: matrix 43, run 0. Mean loss in evaluation epoch: 0.43477094173431396, epochs needed: 200
evaluating: matrix 44, run 0. Mean loss in evaluation epoch: 0.4373011589050293, epochs needed: 200
evaluating: matrix 45, run 0. Mean loss in evaluation epoch: 0.4463382363319397, epochs needed: 200
evaluating: matrix 46, run 0. Mean loss in evaluation epoch: 0.4365612864494324, epochs needed: 200
evaluating: matrix 47, run 0. Mean loss in evaluation epoch: 0.44552063941955566, epochs needed: 200
evaluating: matrix 48, run 0. Mean loss in evaluation epoch: 0.43789464235305786, epochs needed: 200
evaluating: matrix 49, run 0. Mean loss in evaluation epoch: 0.44434791803359985, epochs needed: 200
evaluating: matrix 50, run 0. Mean loss in evaluation epoch: 0.4221957325935364, epochs needed: 200
evaluating: matrix 51, run 0. Mean loss in evaluation epoch: 0.4427459239959717, epochs needed: 200
evaluating: matrix 52, run 0. Mean loss in evaluation epoch: 0.4482713043689728, epochs needed: 200
evaluating: matrix 53, run 0. Mean loss in evaluation epoch: 0.43428298830986023, epochs needed: 200
evaluating: matrix 54, run 0. Mean loss in evaluation epoch: 0.43834638595581055, epochs needed: 200
evaluating: matrix 55, run 0. Mean loss in evaluation epoch: 0.44323086738586426, epochs needed: 200
evaluating: matrix 56, run 0. Mean loss in evaluation epoch: 0.4361669421195984, epochs needed: 200
evaluating: matrix 57, run 0. Mean loss in evaluation epoch: 0.4304513931274414, epochs needed: 200
evaluating: matrix 58, run 0. Mean loss in evaluation epoch: 0.42830973863601685, epochs needed: 200
evaluating: matrix 59, run 0. Mean loss in evaluation epoch: 0.4430377781391144, epochs needed: 200
evaluating: matrix 60, run 0. Mean loss in evaluation epoch: 0.4405917823314667, epochs needed: 200
evaluating: matrix 61, run 0. Mean loss in evaluation epoch: 0.4452970623970032, epochs needed: 200
evaluating: matrix 62, run 0. Mean loss in evaluation epoch: 0.4273567795753479, epochs needed: 200
evaluating: matrix 63, run 0. Mean loss in evaluation epoch: 0.4464516043663025, epochs needed: 200
evaluating: matrix 64, run 0. Mean loss in evaluation epoch: 0.4467355012893677, epochs needed: 200
evaluating: matrix 65, run 0. Mean loss in evaluation epoch: 0.4390185475349426, epochs needed: 200
evaluating: matrix 66, run 0. Mean loss in evaluation epoch: 0.43717753887176514, epochs needed: 200
evaluating: matrix 67, run 0. Mean loss in evaluation epoch: 0.44511353969573975, epochs needed: 200
evaluating: matrix 68, run 0. Mean loss in evaluation epoch: 0.4447805881500244, epochs needed: 200
