../data/final/netrd/SIS/timeseries_bull_50_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 50
NUM_DYN_EPOCHS: 2000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 50
NUM_TRAIN_SAMPLES: 39
NUM_TRAIN_BATCHES: 1
NUM_TEST_SAMPLES: 10
NUM_TEST_BATCHES: 1
BATCH_SIZE: 50
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 2000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 0, run 0. Mean loss in evaluation epoch: 0.5034692287445068, epochs needed: 2000
evaluating: matrix 1, run 0. Mean loss in evaluation epoch: 0.5128604769706726, epochs needed: 2000
evaluating: matrix 2, run 0. Mean loss in evaluation epoch: 0.535334587097168, epochs needed: 2000
evaluating: matrix 3, run 0. Mean loss in evaluation epoch: 0.5330489873886108, epochs needed: 2000
evaluating: matrix 4, run 0. Mean loss in evaluation epoch: 0.5955290794372559, epochs needed: 2000
evaluating: matrix 5, run 0. Mean loss in evaluation epoch: 0.5514746904373169, epochs needed: 2000
evaluating: matrix 6, run 0. Mean loss in evaluation epoch: 0.46918001770973206, epochs needed: 2000
evaluating: matrix 7, run 0. Mean loss in evaluation epoch: 0.5152375102043152, epochs needed: 2000
evaluating: matrix 8, run 0. Mean loss in evaluation epoch: 0.510380744934082, epochs needed: 2000
evaluating: matrix 9, run 0. Mean loss in evaluation epoch: 0.5251147747039795, epochs needed: 2000
evaluating: matrix 10, run 0. Mean loss in evaluation epoch: 0.6834918260574341, epochs needed: 2000
evaluating: matrix 11, run 0. Mean loss in evaluation epoch: 0.6471330523490906, epochs needed: 2000
evaluating: matrix 12, run 0. Mean loss in evaluation epoch: 0.5233152508735657, epochs needed: 2000
evaluating: matrix 13, run 0. Mean loss in evaluation epoch: 0.557456374168396, epochs needed: 2000
evaluating: matrix 14, run 0. Mean loss in evaluation epoch: 0.5608357191085815, epochs needed: 2000
evaluating: matrix 15, run 0. Mean loss in evaluation epoch: 0.712256908416748, epochs needed: 2000
evaluating: matrix 16, run 0. Mean loss in evaluation epoch: 0.4871653616428375, epochs needed: 2000
evaluating: matrix 17, run 0. Mean loss in evaluation epoch: 0.6885395646095276, epochs needed: 2000
evaluating: matrix 18, run 0. Mean loss in evaluation epoch: 0.48118606209754944, epochs needed: 2000
evaluating: matrix 19, run 0. Mean loss in evaluation epoch: 0.688030481338501, epochs needed: 2000
evaluating: matrix 20, run 0. Mean loss in evaluation epoch: 0.6270173788070679, epochs needed: 2000
evaluating: matrix 21, run 0. Mean loss in evaluation epoch: 0.7777917385101318, epochs needed: 2000
evaluating: matrix 22, run 0. Mean loss in evaluation epoch: 0.45622023940086365, epochs needed: 2000
evaluating: matrix 23, run 0. Mean loss in evaluation epoch: 0.7764667272567749, epochs needed: 2000
evaluating: matrix 24, run 0. Mean loss in evaluation epoch: 0.6298341155052185, epochs needed: 2000
evaluating: matrix 25, run 0. Mean loss in evaluation epoch: 0.9561876654624939, epochs needed: 2000
evaluating: matrix 26, run 0. Mean loss in evaluation epoch: 0.6071880459785461, epochs needed: 2000
evaluating: matrix 27, run 0. Mean loss in evaluation epoch: 0.9495413899421692, epochs needed: 2000
evaluating: matrix 28, run 0. Mean loss in evaluation epoch: 0.6368606686592102, epochs needed: 2000
evaluating: matrix 29, run 0. Mean loss in evaluation epoch: 0.9352125525474548, epochs needed: 2000
evaluating: matrix 30, run 0. Mean loss in evaluation epoch: 0.46414798498153687, epochs needed: 2000
evaluating: matrix 31, run 0. Mean loss in evaluation epoch: 0.7331863641738892, epochs needed: 2000
